schema_version	left_candidate_id	right_candidate_id	distinguishing_axis	left_required_property	right_required_property	collapse_rule	construction_authorized
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	C-DERIVED-REPAIR	normal abandonment	Open normal exits are rejected and no automatic action exists.	Open normal exits run one compiler-derived total repair.	Rejecting all open exits collapses repair to atomic; adding cleanup to atomic collapses it to repair.	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	C-LINEAR-REBUILD	open-exit enforcement	Lexical open exits are rejected; authority never becomes first class.	A first-class exact value may cross helpers but must be consumed exactly once.	An exact token confined lexically collapses to atomic; a lexical authority passed as exact collapses to linear.	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	C-PROOF-CARRYING-STATE	valid partial state	Partial state is lexical and cannot survive an exit.	Affine partition is always structurally droppable and may survive/escape as one master owner.	A nonescaping partition with rejected abandonment collapses to atomic.	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	C-RUNTIME-TOPOLOGY	runtime topology	No runtime partial-state tag or persistent partial owner exists.	A sealed Dense/Hole runtime descriptor makes partial state droppable.	Removing the runtime descriptor and rejecting open exits collapses topology to atomic.	NO
dense-contract-registry-v1	C-DERIVED-REPAIR	C-PROOF-CARRYING-STATE	repair versus structural drop	Normal exit runs a compiler-derived repair/destruction action selected by partial state.	Normal exit directly drops already-valid proved ranges without repairing Dense.	A partition cleanup that reconstructs Dense collapses to repair.	NO
dense-contract-registry-v1	C-DERIVED-REPAIR	C-RUNTIME-TOPOLOGY	compiler CFG versus sealed metadata	Compiler emits an exact repair block and no runtime partial descriptor is required.	Validated runtime metadata directly selects structural drop ranges; no repair block exists.	A topology exit that runs hidden repair-to-Dense collapses to repair.	NO
dense-contract-registry-v1	C-LINEAR-REBUILD	C-DERIVED-REPAIR	must-use versus automatic action	Every normal edge consumes the exact value; no implicit action.	Affine abandonment is accepted through derived repair.	Adding cleanup to exact-use or rejecting repair exits collapses the distinction.	NO
dense-contract-registry-v1	C-LINEAR-REBUILD	C-PROOF-CARRYING-STATE	abandonment	Abandonment is rejected transitively.	Abandonment structurally drops proved ranges and releases once.	Giving partition exact-use/no drop collapses to linear.	NO
dense-contract-registry-v1	C-LINEAR-REBUILD	C-RUNTIME-TOPOLOGY	proof versus runtime state	Exact flow proof carries all ownership state and emits no runtime topology.	Runtime Dense/Hole metadata selects live ranges for structural drop.	Making topology fully proof-erased and exact-use collapses to linear.	NO
dense-contract-registry-v1	C-PROOF-CARRYING-STATE	C-RUNTIME-TOPOLOGY	static versus dynamic live ranges	Zero-to-two ranges are statically proved and no tag selects them.	Dense/Hole and range endpoints are runtime sealed metadata.	A proof arm with runtime topology collapses to runtime; a runtime arm whose descriptor erases collapses to proof.	NO
