structural_gate_id	applies_to	collection_method	pass_rule	failure_consequence	status	blocking_fact
SG-EXACT-ORACLE	Every cell	Compare result, exact contract state equation, owner roles, allocation disposition, behavior-call sequence, and failure result.	Exact equality; no invalid access before a trap or abort.	Reject the cell and candidate before interpreting timing.	PENDING_EXTERNAL	PENDING_EXTERNAL_HARNESS
SG-OWNER-EVENTS	Every ownership-bearing cell	Record initialize, move-out, relocate, replace, clone, clone_from, behavior, and destruction by logical owner ID.	Every owner has exactly one destination or destruction; no hidden clone, duplicate liveness, loss, or post-death access.	Reject the candidate.	PENDING_EXTERNAL	PENDING_EXTERNAL_HARNESS
SG-ALLOCATION	Every positive-size cell	Record common-adapter calls, layouts, requested/usable/live/peak/transient bytes, failures, releases, and owner tags.	Exact algorithm ceiling, same-shape call equivalence, and no candidate-private allocator or uncharged allocation.	Reject the candidate.	PENDING_EXTERNAL	PENDING_EXTERNAL_ALLOCATOR_ADAPTER
SG-ZST	Every P-ZST-AFFINE cell	Count logical owners and every allocator event and byte field.	capacity=usize::MAX; all allocator calls and byte fields are exactly zero; move/drop counts remain exact by logical index.	Reject the candidate; zero bytes never supply a memory benefit.	FROZEN_PROTOCOL	NONE
SG-OPERATION-RUST-FLOOR	Every standalone canonical primary operation cell	Exact scheduled-mixture sign decision on raw within-block ratios for the full Williams-by-five-salt cycle of the exact target, payload, size, and workload shape.	The directed candidate/Rust claim passes at 1/5000 in every cell; 50*candidate_elapsed_ns < 51*rust_elapsed_ns is the strict success.	Reject the operation gate and candidate.	PENDING_EXTERNAL	PENDING_EXTERNAL_REFERENCE_PILOT
SG-CODE-UNION	Every selected target	Build relocation-normalized reachable-text graph and interval union.	No unresolved indirect edge; mandatory union <=1.10 times Rust.	Reject the Rust-floor claim.	PENDING_EXTERNAL	PENDING_EXTERNAL_CANDIDATE_BUILDS
SG-COMMON-SUBSTRATE	All five candidates	Compare substrate interface, source/binary hashes, layouts, costs, allocator route, generic calls, provenance, and owning cursor.	All five substrate and cost hashes are identical; no private allocator, cursor, seal, generic path, or result-provenance substitute.	Reject the arm before construction or measurement.	PENDING_EXTERNAL	PENDING_EXTERNAL_COMMON_SUBSTRATE_ARTIFACTS
SG-FACTS	Every candidate cell	Compare facts-on/off source, accepted semantics, producers, consumers, invalidators, retained checks, and optimized bodies.	Exact source and semantics; every fact path accounted; indeterminate fails closed.	Reject the candidate.	PENDING_EXTERNAL	PENDING_EXTERNAL_FACT_REPORTS
SG-B-FIX	B-FIX on all three target layouts	Compare source, diagnostics, DataLayout, raw IR, normalized hot instructions, calls, traps, alias metadata, vectorization, and counters.	Exact protected historical identity; normalization allowlist is empty.	Reject the candidate before any score.	PENDING_EXTERNAL	PENDING_EXTERNAL_CANDIDATE_BUILDS
SG-B-P2	B-P2 on all three target layouts	Compare canonical source, output, DataLayout, raw IR, optimized access bodies, bounds, aliases, vectorization, calls, and counters.	Exact historical identity; no generation, retirement, reuse, metadata load, branch, indirection, call, or new fact.	Reject the candidate before any score.	PENDING_EXTERNAL	PENDING_EXTERNAL_CANDIDATE_BUILDS
SG-H-FLATSET	H-FLATSET on all three target layouts	Validate sorted-set oracle, comparison counts, moves, allocations, metadata, public dependency budget, and code.	Exact hidden oracle; no FAM-DENSE import, candidate recognition, per-slot occupancy, dummy payload, or per-item allocation.	Block dense closure.	PENDING_EXTERNAL	PENDING_EXTERNAL_H_FLATSET_CUSTODY
SG-W-SMALL	W-SMALL on all three target layouts	Validate lengths 0..32, inline/spill ownership, allocation, first-spill moves, failure, removal, and destruction.	Exact visible witness ceilings and no candidate recognition.	Block W-SMALL.	PENDING_EXTERNAL	PENDING_EXTERNAL_W_SMALL_FIXTURE
SG-W-GAP	W-GAP on all three target layouts	Validate prefix/suffix/gap oracle, exact move distance, growth, materialization, allocation, and destruction.	Front, middle, and back routes meet exact ceilings with no per-slot tag.	Block W-GAP.	PENDING_EXTERNAL	PENDING_EXTERNAL_W_GAP_FIXTURE
SG-ARITHMETIC-32-64	32-bit and 64-bit boundary cells	Evaluate checked add, double, multiply, layout, isize, and usize premises without allocation or payload access.	Last-valid succeeds and first-invalid exits at the exact failed premise.	Reject the candidate.	FROZEN_PROTOCOL	NONE
